Fiscal Year,Service Level (or State Project),State,Location Identifier,Airport Name,Grant Sequence Number,AIP Federal Funds, Work Description,Hub Type,,,
2005,P,AZ,PHX,Phoenix Sky Harbor International,60,"$10,886,050 ",Rehabilitate Taxiway,L,,,
2005,P,AZ,PHX,Phoenix Sky Harbor International,61,"$12,309,187 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2005,P,CA,LAX,Los Angeles International,32,"$2,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2005,P,CA,LAX,Los Angeles International,34,"$5,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2005,P,CA,LAX,Los Angeles International,31,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,CA,LAX,Los Angeles International,33,"$10,000,000 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2005,P,CA,LAX,Los Angeles International,35,"$38,826,223 ",Construct Runway  - 07R/25L,L,,,
2005,P,CA,OAK,Metropolitan Oakland International,38,"$1,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,CA,OAK,Metropolitan Oakland International,39,"$1,500,000 ",Conduct Environmental Study,L,,,
2005,P,CA,OAK,Metropolitan Oakland International,37,"$18,123,134 ",Rehabilitate Apron,L,,,
2005,P,CA,SAN,San Diego International,42,"$2,800,000 ",Conduct Airport Master Plan Study,L,,,
2005,P,CA,SAN,San Diego International,44,"$4,895,329 ",Rehabilitate Apron,L,,,
2005,P,CA,SAN,San Diego International,43,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,CA,SFO,San Francisco International,33,"$24,177,111 ","Conduct Miscellaneous Study , Construct Apron , Improve Airport Drainage, Improve Terminal Building , Rehabilitate Runway Lighting - 01R/19L, Rehabilitate Ta",L,,,
2005,P,CO,DEN,Denver International,37,"$3,211,130 ","Construct Deicing Containment Facility , Install Runway Sensors - 16L/34R",L,,,
2005,P,CO,DEN,Denver International,36,"$3,250,000 ","Construct Aircraft Rescue & Fire Fighting Building, Construct Runway  - 16R/34L",L,,,
2005,P,CO,DEN,Denver International,38,"$10,000,000 ",Construct Deicing Containment Facility,L,,,
2005,P,DC,IAD,Washington Dulles International,34,"$3,284,049 ",Expand Apron,L,,,
2005,P,DC,IAD,Washington Dulles International,33,"$4,720,042 ",Rehabilitate Taxiway,L,,,
2005,P,FL,FLL,Fort Lauderdale/Hollywood International,49,"$838,732 ",Conduct Noise Compatibility Plan Study,L,,,
2005,P,FL,FLL,Fort Lauderdale/Hollywood International,48,"$8,353,985 ","Construct Taxiway , Security Enhancements",L,,,
2005,P,FL,MIA,Miami International,50,"$1,464,319 ",Security Enhancements,L,,,
2005,P,FL,MIA,Miami International,49,"$8,000,000 ",Construct Runway  - 08L/26R,L,,,
2005,P,FL,MIA,Miami International,51,"$9,551,609 ",Rehabilitate Runway  - 09/27,L,,,
2005,P,FL,MCO,Orlando International,88,"$2,000,000 ",Construct Taxiway,L,,,
2005,P,FL,MCO,Orlando International,89,"$3,000,000 ",Environmental Mitigation,L,,,
2005,P,FL,MCO,Orlando International,91,"$3,725,758 ",Rehabilitate Terminal Building,L,,,
2005,P,FL,MCO,Orlando International,90,"$5,360,000 ",Construct Runway  - 17L/35R,L,,,
2005,P,FL,TPA,Tampa International,45,"$6,241,900 ",Construct Taxiway,L,,,
2005,P,GA,ATL,Hartsfield - Jackson Atlanta International,68,"$6,368,300 ",Construct Runway - Plan-1,L,,,
2005,P,GA,ATL,Hartsfield - Jackson Atlanta International,70,"$8,434,601 ",Construct Runway  - Plan-1,L,,,
2005,P,GA,ATL,Hartsfield - Jackson Atlanta International,69,"$14,000,000 ",Extend Runway - 10/28,L,,,
2005,P,GA,ATL,Hartsfield - Jackson Atlanta International,67,"$24,100,000 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,L,,,
2005,P,IL,MDW,Chicago Midway International,64,"$1,420,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,MDW,Chicago Midway International,62,"$5,837,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,MDW,Chicago Midway International,63,"$5,858,608 ",Construct Terminal Building,L,,,
2005,P,IL,MDW,Chicago Midway International,61,"$12,000,000 ",Construct Apron,L,,,
2005,P,IL,ORD,Chicago O'Hare International,77,"$77,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,74,"$192,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,76,"$298,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,72,"$461,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,78,"$700,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,69,"$868,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,73,"$928,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,75,"$2,551,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,70,"$4,056,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,IL,ORD,Chicago O'Hare International,71,"$5,420,000 ",Rehabilitate Taxiway,L,,,
2005,P,IL,ORD,Chicago O'Hare International,66,"$6,359,572 ",Conduct Environmental Study,L,,,
2005,P,KY,CVG,Cincinnati/Northern Kentucky International,51,"$9,143,225 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,KY,CVG,Cincinnati/Northern Kentucky International,50,"$19,150,137 ",Construct Runway,L,,,
2005,P,MA,BOS,General Edward Lawrence Logan International,88,"$2,664,428 ",Extend Runway Safety Area - 04L/22R,L,,,
2005,P,MA,BOS,General Edward Lawrence Logan International,86,"$12,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,MA,BOS,General Edward Lawrence Logan International,87,"$15,030,000 ",Construct Runway - Plan-1,L,,,
2005,P,MD,BWI,Baltimore-Washington International,75,"$2,092,000 ",Security Enhancements,L,,,
2005,P,MD,BWI,Baltimore-Washington International,74,"$4,200,000 ",Update Airport Master Plan Study,L,,,
2005,P,MD,BWI,Baltimore-Washington International,73,"$7,747,632 ",Construct Apron,L,,,
2005,P,MD,BWI,Baltimore-Washington International,76,"$8,000,000 ",Rehabilitate Apron,L,,,
2005,P,MI,DTW,Detroit Metropolitan Wayne County,73,"$1,361,798 ","Construct Taxiway, Install Runway Lighting - 09L/27R",L,,,
2005,P,MI,DTW,Detroit Metropolitan Wayne County,75,"$2,950,000 ",Construct Deicing Containment Facility,L,,,
2005,P,MI,DTW,Detroit Metropolitan Wayne County,74,"$3,914,651 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,MI,DTW,Detroit Metropolitan Wayne County,71,"$11,799,973 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,MI,DTW,Detroit Metropolitan Wayne County,72,"$17,638,853 ","Construct Apron, Construct Runway - 04L/22R, Environmental Mitigation",L,,,
2005,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,82,"$569,378 ",Rehabilitate Apron,L,,,
