Facility,Date,Actual_Departures,Actual_Arrivals,Departure_Cancellations,Arrival_Cancellations,Departure_Diversions,Actual_Diversions,On_Time_Arrivals,Perc_On_Time_Gate_Deps,Perc_On_Time_Gate_Arrs,Avg_Gate_Departure,Avg_Gate_Arrival,Avg_Block_Delay,Avg_Taxi_Out_Time,Avg_Taxi_In_Time,Delayed_Arrivals,Avg_Delay_per_Delayed
ATL,3-Jun,29866,29817,178,216,57,27,23974,81.68,80.4,9.56,10.59,4.65,20.32,11.13,5843,46
ATL,3-Jul,30409,30320,427,484,62,71,22868,76.91,75.42,14.08,15.47,5.74,22.92,13.28,7452,56.13
ATL,3-Aug,30934,30885,297,364,67,56,23056,77.4,74.65,12.02,13.77,5.84,21.9,11.63,7829,47.28
ATL,3-Sep,30066,29985,292,359,36,33,26049,88.21,86.87,6.14,7.38,4.22,20.09,11.22,3936,45.9
ATL,3-Oct,31628,31586,134,189,32,12,26398,87.23,83.58,6.14,8.13,4.14,20.36,10.83,5188,40.64
ATL,3-Nov,29863,29829,204,263,55,21,25220,87.2,84.55,6.46,7.95,4.11,19.62,10.6,4609,42.01
ATL,3-Dec,30853,30792,545,630,43,12,23508,78.64,76.34,11.95,15.47,5.31,20.77,11.59,7284,58.81
ATL,4-Jan,33561,33515,739,805,54,18,25766,81.67,76.88,10.1,13.26,5.25,21.14,12.37,7749,51.01
ATL,4-Feb,31491,31421,884,921,50,30,19883,71.25,63.28,16.54,22.77,7.53,21.16,13.19,11538,58.08
ATL,4-Mar,34602,34522,217,255,69,33,29114,86,84.33,7.38,8.04,3.97,20.41,11.09,5408,42.53
ATL,4-Apr,33814,33733,230,264,31,29,28029,85.84,83.09,7.52,8.64,4,21.35,11.02,5704,42.66
ATL,4-May,34442,34367,415,457,94,72,25565,77.44,74.39,13.74,15.77,5.46,22.53,10.74,8802,56.23
ATL,4-Jun,33786,33564,555,598,69,134,21845,69.67,65.08,19.76,22.76,5.99,24.46,12.83,11719,60.95
ATL,4-Jul,35400,35318,441,475,85,101,26116,75.48,73.95,13.47,14.45,4.66,23.2,13.16,9202,49.2
ATL,4-Aug,35956,35727,512,570,60,64,28055,79.88,78.53,10.97,11.77,4.5,20.95,10.91,7672,48.05
ATL,4-Sep,32672,32272,2126,2164,46,178,24842,79.58,76.98,12.62,15.01,4.94,17.94,11.45,7430,59.39
ATL,4-Oct,35405,35286,393,420,45,17,26252,79.04,74.4,10.5,12.63,4.58,20.33,11,9034,42.73
ATL,4-Nov,33833,33569,534,583,55,54,23372,72.77,69.62,16,18.47,5.69,19.27,13.02,10197,55.64
ATL,4-Dec,34503,34490,824,921,79,42,25088,71.75,72.74,16.31,17.2,4.76,18.81,12.54,9402,57.31
