2015,10,29,14,60,2,76,6
2003,12,16,9,63,9,61,5
2014,7,1,1,1,1,2,2
2005,4,22,6,15,2,26,2
2012,8,24,8,89,4,91,1
2011,11,30,9,66,3,77,3
2000,9,21,9,15,11,39,8
2011,10,4,18,31,3,73,5
2006,12,6,10,79,5,66,5
2005,5,17,11,74,4,76,6
2012,12,2,7,27,3,50,1
2006,7,5,10,79,39,62,7
2016,9,11,13,77,5,70,2
2008,11,8,13,61,4,80,8
2004,2,29,14,67,6,72,0
2010,9,3,9,86,5,89,6
2005,6,4,21,81,19,83,10
2002,5,30,17,55,16,29,0
2001,2,25,17,27,21,45,40
2013,5,15,22,52,6,12,5
2015,12,13,13,72,3,62,3
2017,2,12,0,2,2,5,3
2015,7,30,7,36,4,73,1
2009,8,18,15,71,39,39,6
2009,1,9,21,89,5,58,8
2011,12,14,12,67,4,66,2
2003,3,6,16,50,17,63,15
2000,9,24,10,63,2,38,1
2009,1,4,14,72,40,74,44
2009,10,24,12,67,5,62,3
2017,11,29,17,52,5,37,1
2009,3,10,20,82,7,74,8
2004,1,14,21,37,9,70,25
2012,10,30,9,71,4,62,0
2010,9,9,11,54,4,54,3
2015,10,23,8,87,8,90,2
2009,10,14,19,71,57,65,50
2018,7,9,13,76,7,70,8
2011,2,5,15,61,9,67,9
2000,11,17,16,44,26,51,13
2003,3,20,17,78,29,60,47
2012,2,23,11,47,6,65,2
2014,5,7,5,5,0,3,0
2016,7,18,16,79,11,72,8
2017,3,3,14,57,7,77,8
2004,2,16,8,112,33,57,3
2011,11,1,16,94,10,69,3
2016,4,18,11,52,5,59,5
2005,10,31,22,40,4,24,3
2006,7,27,11,68,10,64,4
2017,4,6,14,35,30,31,23
2008,6,4,22,45,31,19,6
2003,7,6,12,57,10,62,5
2000,5,24,14,17,6,48,1
2011,8,21,10,85,9,47,4
2017,4,3,21,73,60,57,43
2011,6,21,16,84,21,62,16
2009,12,11,6,9,3,20,1
2014,1,3,21,71,37,64,41
2015,12,7,9,94,8,83,3
2009,11,3,15,61,6,78,5
2015,7,7,16,77,9,61,6
2011,5,27,5,2,0,3,1
2015,11,17,22,51,9,33,18
