2011,7,25,23,9,9,14,5
2008,1,9,9,72,6,55,8
2013,4,12,18,68,38,45,15
2007,3,18,14,57,8,66,7
2016,5,30,4,3,0,9,0
2005,9,5,5,6,0,16,1
2006,11,26,19,76,17,76,13
2016,7,11,17,50,7,41,6
2017,7,29,16,34,9,57,11
2010,6,15,12,48,17,60,12
2011,5,14,7,42,9,42,2
2012,11,5,5,14,0,14,0
2016,7,5,0,1,1,8,5
2013,2,1,11,30,19,50,14
2018,10,21,21,58,9,42,9
2017,2,3,14,28,6,41,4
2013,2,19,16,42,25,56,21
2006,5,17,21,52,50,59,59
2013,2,27,20,55,40,52,31
2006,11,23,20,27,1,15,4
2017,2,20,21,29,5,24,12
2014,9,6,7,33,2,38,3
2004,1,4,0,4,4,7,7
2018,2,1,14,30,4,48,4
2009,9,6,15,47,1,45,0
2006,11,5,6,43,1,42,3
2008,12,30,22,11,9,15,5
2016,7,24,22,32,31,52,47
2007,8,9,14,48,19,67,17
2015,8,28,6,34,1,45,1
2010,3,7,10,50,10,60,1
2006,2,12,21,43,12,23,9
2013,2,24,17,46,7,54,6
2017,2,8,15,40,7,32,11
2017,2,25,18,34,9,38,9
2009,9,13,12,56,10,51,11
2005,2,16,7,44,7,56,1
2018,2,20,9,50,13,53,6
2011,3,9,23,1,1,15,7
2013,7,10,14,40,23,45,17
2009,9,13,19,67,15,57,14
2011,1,2,8,61,13,65,11
2018,12,8,11,49,7,44,3
2010,8,25,18,63,12,61,4
2005,9,9,17,67,11,58,3
2004,10,23,10,75,59,52,7
2014,7,20,16,46,1,59,6
2006,5,12,13,51,26,55,35
2010,10,20,0,1,1,5,1
2012,8,4,6,40,4,39,3
2015,6,18,9,43,19,44,25
2012,8,30,18,63,10,54,9
2005,11,30,17,62,22,60,9
2017,10,14,1,4,4,4,4
2008,1,13,6,28,1,24,0
2009,12,24,11,43,13,49,18
2016,3,1,8,23,6,39,2
2016,3,28,5,16,1,11,3
2006,2,18,10,64,36,48,12
2004,4,3,10,76,2,64,3
2005,5,3,9,52,2,54,2
2013,2,17,5,7,0,8,2
2006,2,23,12,57,12,58,12
2017,12,8,15,49,5,31,3
2012,4,8,13,63,5,51,6
2008,5,20,19,60,23,68,29
2004,4,6,19,83,4,83,5
2004,10,19,9,53,15,60,10
2016,7,4,16,28,3,37,5
2005,2,1,21,36,3,19,1
2011,5,27,9,55,13,47,10
2017,4,27,7,51,9,61,2
2012,11,7,9,57,15,47,4
2006,5,18,16,52,34,57,26
2012,6,20,20,56,25,58,19
