"","airport","year","ops","Actual_Arrivals","On_Time_Arrivals","Departure_Cancellations","Arrival_Cancellations","Departure_Diversions","Actual_Diversions","Delayed_Arrivals","Prop_On_Time"
"1","APA",1991,361050,NA,NA,NA,NA,NA,NA,NA,NA
"2","APA",1992,376417,NA,NA,NA,NA,NA,NA,NA,NA
"3","APA",1993,415453,NA,NA,NA,NA,NA,NA,NA,NA
"4","APA",1994,422463,NA,NA,NA,NA,NA,NA,NA,NA
"5","APA",1995,402325,NA,NA,NA,NA,NA,NA,NA,NA
"6","APA",1996,359704,NA,NA,NA,NA,NA,NA,NA,NA
"7","APA",1997,408602,NA,NA,NA,NA,NA,NA,NA,NA
"8","APA",1998,466267,NA,NA,NA,NA,NA,NA,NA,NA
"9","APA",1999,436073,NA,NA,NA,NA,NA,NA,NA,NA
"10","APA",2000,398164,NA,NA,NA,NA,NA,NA,NA,NA
"11","APA",2001,383522,NA,NA,NA,NA,NA,NA,NA,NA
"12","APA",2002,421515,NA,NA,NA,NA,NA,NA,NA,NA
"13","APA",2003,361459,NA,NA,NA,NA,NA,NA,NA,NA
"14","APA",2004,356909,NA,NA,NA,NA,NA,NA,NA,NA
"15","APA",2005,347504,NA,NA,NA,NA,NA,NA,NA,NA
"16","APA",2006,319799,NA,NA,NA,NA,NA,NA,NA,NA
"17","APA",2007,337051,NA,NA,NA,NA,NA,NA,NA,NA
"18","APA",2008,320949,NA,NA,NA,NA,NA,NA,NA,NA
"19","APA",2009,263026,NA,NA,NA,NA,NA,NA,NA,NA
"20","APA",2010,283186,NA,NA,NA,NA,NA,NA,NA,NA
"21","APA",2011,294591,NA,NA,NA,NA,NA,NA,NA,NA
"22","APA",2012,298566,NA,NA,NA,NA,NA,NA,NA,NA
"23","APA",2013,292384,NA,NA,NA,NA,NA,NA,NA,NA
"24","APA",2014,309457,NA,NA,NA,NA,NA,NA,NA,NA
"25","APA",2015,313282,NA,NA,NA,NA,NA,NA,NA,NA
"26","APA",2016,332111,NA,NA,NA,NA,NA,NA,NA,NA
"27","APA",2017,326023,NA,NA,NA,NA,NA,NA,NA,NA
"28","APA",2018,337998,NA,NA,NA,NA,NA,NA,NA,NA
"29","ATL",1991,589470,NA,NA,NA,NA,NA,NA,NA,NA
"30","ATL",1992,621640,NA,NA,NA,NA,NA,NA,NA,NA
"31","ATL",1993,671183,NA,NA,NA,NA,NA,NA,NA,NA
"32","ATL",1994,709221,NA,NA,NA,NA,NA,NA,NA,NA
"33","ATL",1995,761618,NA,NA,NA,NA,NA,NA,NA,NA
"34","ATL",1996,761011,NA,NA,NA,NA,NA,NA,NA,NA
"35","ATL",1997,793299,NA,NA,NA,NA,NA,NA,NA,NA
"36","ATL",1998,846943,NA,NA,NA,NA,NA,NA,NA,NA
"37","ATL",1999,909911,NA,NA,NA,NA,NA,NA,NA,NA
"38","ATL",2000,913449,NA,NA,NA,NA,NA,NA,NA,NA
"39","ATL",2001,886995,NA,NA,NA,NA,NA,NA,NA,NA
"40","ATL",2002,890923,NA,NA,NA,NA,NA,NA,NA,NA
"41","ATL",2003,911788,NA,NA,NA,NA,NA,NA,NA,NA
"42","ATL",2004,964793,407784,303927,7870,8433,737,772,103857,0.745313695485845
"43","ATL",2005,980386,414240,308889,13837,14480,790,1080,105351,0.745676419466976
"44","ATL",2006,976447,396741,291068,6624,7301,913,787,105673,0.733647392127358
"45","ATL",2007,991627,405032,308080,6796,7790,920,1045,96952,0.76063125876474
"46","ATL",2008,978084,406744,313038,5830,6705,982,1072,93706,0.769619219951616
"47","ATL",2009,970258,411789,304350,5324,6303,1064,1116,107439,0.739092107851351
"48","ATL",2010,950119,404372,326481,8198,9279,971,945,77891,0.807377859990306
"49","ATL",2011,923991,384755,315558,6555,7484,903,812,69197,0.820153084430352
"50","ATL",2012,930098,388516,332146,2259,2782,798,655,56370,0.854909450318648
"51","ATL",2013,911074,394777,322485,2916,3450,870,655,72292,0.816878896186961
"52","ATL",2014,868359,362704,300308,5977,6483,781,655,62396,0.827969914861705
"53","ATL",2015,882497,375622,320446,2588,2752,821,1124,55176,0.853107645452077
"54","ATL",2016,898356,381166,331559,2246,2350,826,736,49607,0.86985460403079
"55","ATL",2017,879498,358263,307871,5419,5501,699,832,50392,0.859343554874492
"56","ATL",2018,895502,387761,327155,2569,2631,926,754,60606,0.843702693153773
"57","BED",1991,213334,NA,NA,NA,NA,NA,NA,NA,NA
"58","BED",1992,203758,NA,NA,NA,NA,NA,NA,NA,NA
"59","BED",1993,196138,NA,NA,NA,NA,NA,NA,NA,NA
"60","BED",1994,187491,NA,NA,NA,NA,NA,NA,NA,NA
"61","BED",1995,190342,NA,NA,NA,NA,NA,NA,NA,NA
"62","BED",1996,179498,NA,NA,NA,NA,NA,NA,NA,NA
"63","BED",1997,188070,NA,NA,NA,NA,NA,NA,NA,NA
"64","BED",1998,183314,NA,NA,NA,NA,NA,NA,NA,NA
"65","BED",1999,197301,NA,NA,NA,NA,NA,NA,NA,NA
"66","BED",2000,212371,NA,NA,NA,NA,NA,NA,NA,NA
"67","BED",2001,205436,NA,NA,NA,NA,NA,NA,NA,NA
"68","BED",2002,218248,NA,NA,NA,NA,NA,NA,NA,NA
"69","BED",2003,194887,NA,NA,NA,NA,NA,NA,NA,NA
"70","BED",2004,180682,NA,NA,NA,NA,NA,NA,NA,NA
"71","BED",2005,170054,NA,NA,NA,NA,NA,NA,NA,NA
"72","BED",2006,172470,NA,NA,NA,NA,NA,NA,NA,NA
"73","BED",2007,166279,NA,NA,NA,NA,NA,NA,NA,NA
"74","BED",2008,186065,NA,NA,NA,NA,NA,NA,NA,NA
"75","BED",2009,179165,NA,NA,NA,NA,NA,NA,NA,NA
"76","BED",2010,175832,NA,NA,NA,NA,NA,NA,NA,NA
"77","BED",2011,162997,NA,NA,NA,NA,NA,NA,NA,NA
"78","BED",2012,166211,NA,NA,NA,NA,NA,NA,NA,NA
"79","BED",2013,154488,NA,NA,NA,NA,NA,NA,NA,NA
"80","BED",2014,134295,NA,NA,NA,NA,NA,NA,NA,NA
"81","BED",2015,128279,NA,NA,NA,NA,NA,NA,NA,NA
"82","BED",2016,121789,NA,NA,NA,NA,NA,NA,NA,NA
"83","BED",2017,128598,NA,NA,NA,NA,NA,NA,NA,NA
"84","BED",2018,121664,NA,NA,NA,NA,NA,NA,NA,NA
"85","BOS",1991,441756,NA,NA,NA,NA,NA,NA,NA,NA
"86","BOS",1992,486785,NA,NA,NA,NA,NA,NA,NA,NA
"87","BOS",1993,503739,NA,NA,NA,NA,NA,NA,NA,NA
"88","BOS",1994,468921,NA,NA,NA,NA,NA,NA,NA,NA
"89","BOS",1995,476486,NA,NA,NA,NA,NA,NA,NA,NA
"90","BOS",1996,465050,NA,NA,NA,NA,NA,NA,NA,NA
"91","BOS",1997,502187,NA,NA,NA,NA,NA,NA,NA,NA
"92","BOS",1998,515788,NA,NA,NA,NA,NA,NA,NA,NA
"93","BOS",1999,502164,NA,NA,NA,NA,NA,NA,NA,NA
"94","BOS",2000,508283,NA,NA,NA,NA,NA,NA,NA,NA
"95","BOS",2001,471989,NA,NA,NA,NA,NA,NA,NA,NA
"96","BOS",2002,404649,NA,NA,NA,NA,NA,NA,NA,NA
"97","BOS",2003,379439,NA,NA,NA,NA,NA,NA,NA,NA
"98","BOS",2004,422460,128896,103125,3332,3343,269,127,25771,0.800063617179742
