,year,carrier,air_taxi,general,military,total_itinerant,total_ops
APA,1990,0,"3,971","169,206","2,167","175,344","386,057"
APA,1991,0,"3,292","155,094","1,763","160,149","361,050"
APA,1992,0,"5,600","167,791","2,129","175,520","376,417"
APA,1993,35,"7,417","183,758","2,171","193,381","415,453"
APA,1994,10,"11,333","186,667","1,900","199,910","422,463"
APA,1995,0,"13,576","183,227","1,168","197,971","402,325"
APA,1996,0,"14,512","168,771",962,"184,245","359,704"
APA,1997,60,"19,757","190,253",959,"211,029","408,602"
APA,1998,0,"30,800","209,641","1,544","241,985","466,267"
APA,1999,2,"31,282","181,893",847,"214,024","436,073"
APA,2000,0,"35,644","164,402",860,"200,906","398,164"
APA,2001,0,"37,050","152,226",925,"190,201","383,522"
APA,2002,118,"46,689","162,760","1,271","210,838","421,515"
APA,2003,0,"45,648","137,633","1,600","184,881","361,459"
APA,2004,0,"51,888","134,842","2,044","188,774","356,909"
APA,2005,0,"56,012","132,715","1,507","190,234","347,504"
APA,2006,0,"52,260","130,332","1,503","184,095","319,799"
APA,2007,0,"52,051","103,638","1,868","157,557","337,051"
APA,2008,3,"44,376","62,251","1,416","108,046","320,949"
APA,2009,1,"33,065","106,804","2,594","142,464","263,026"
APA,2010,30,"31,278","119,049","3,376","153,733","283,186"
APA,2011,68,"36,191","126,112","3,482","165,853","294,591"
APA,2012,44,"33,248","134,904","3,075","171,271","298,566"
APA,2013,32,"30,947","134,927","2,446","168,352","292,384"
APA,2014,88,"33,857","140,133","3,469","177,547","309,457"
APA,2015,93,"26,447","133,055","3,293","162,888","313,282"
APA,2016,43,"24,979","145,807","3,588","174,417","332,111"
APA,2017,58,"26,865","141,529","3,621","172,073","326,023"
APA,2018,97,"32,045","137,653","3,836","173,631","337,998"
APA,2019,22,"7,881","32,250",654,"40,807","74,026"
ATL,1989,"141,485","41,945","5,870",365,"189,665","189,901"
ATL,1990,"581,742","185,748","20,492","1,381","789,363","790,502"
ATL,1991,"420,596","146,088","18,701","3,572","588,957","589,470"
ATL,1992,"447,095","149,005","20,911","4,381","621,392","621,640"
ATL,1993,"485,595","158,473","23,331","3,725","671,124","671,183"
ATL,1994,"528,544","153,841","23,441","3,352","709,178","709,221"
ATL,1995,"584,318","151,136","23,470","2,684","761,608","761,618"
ATL,1996,"580,558","154,622","23,131","2,651","760,962","761,011"
ATL,1997,"603,804","163,636","23,158","2,437","793,035","793,299"
ATL,1998,"637,603","182,959","23,131","3,169","846,862","846,943"
ATL,1999,"668,175","211,855","25,990","3,878","909,898","909,911"
ATL,2000,"685,390","204,020","20,938","2,032","912,380","913,449"
ATL,2001,"671,013","200,024","12,043",714,"883,794","886,995"
ATL,2002,"649,843","221,561","16,609","1,754","889,767","890,923"
ATL,2003,"657,582","240,973","11,909","1,324","911,788","911,788"
ATL,2004,"697,966","254,127","11,187","1,513","964,793","964,793"
ATL,2005,"692,165","275,568","10,767","1,886","980,386","980,386"
ATL,2006,"673,734","291,762","9,417","1,534","976,447","976,447"
ATL,2007,"722,461","257,222","8,280",610,"988,573","991,627"
ATL,2008,"750,597","217,245","4,120",544,"972,506","978,084"
ATL,2009,"721,166","240,924","7,060","1,108","970,258","970,258"
ATL,2010,"719,826","222,150","7,269",874,"950,119","950,119"
ATL,2011,"726,452","190,372","6,792",375,"923,991","923,991"
